Domain name,Company name,Category,Language,Popularity,Twitter,Facebook,Email addresses on Hunter
maidennoir.com,Maiden Noir,Retail,en,2,maidennoir,maidennoirno7,4
limericki.com,Lime Ricki Swimwear,Hobby & Leisure,en,4,swimlimericki,limericki,5
musicfolder.com,Music Folders,Art & Entertainment,en,3,,musicfolder,0
uscargocontrol.com,US Cargo Control,Travel,en,3,uscargocontrol,uscargocontrol,4
plan-c.com,Plan C,Retail,en,2,,,5
originalswat.com,OriginalSWAT,Hobby & Leisure,en,3,originalswat,originalswat,4
ventureheat.com,Venture Heat,Technology,en,2,venture_heat,ventureheatfans,2
bullandbush.com,Bull & Bush Brewery,Travel,en,2,bandbmanbeer,bullandbushbrewery,3
brixtonbrewery.com,Brixton Brewery,Food & Drink,en,2,baturebrewery,,10
easymusiccenter.com,Easy Music Center,Retail,en,2,easymusiccenter,easymusiccenter,6
giganticbrewing.com,Gigantic Brewing Company,Food & Drink,en,4,giganticbrewing,giganticbrewing,0
katesmagik.com,Kate's Magik,Manufacturing,en,2,katesmagik,katesmagik,2
terra20.com,Terra20,Retail,en,3,exploreterra20,exploreterra20,13
ilkleybrewery.co.uk,Ilkley Brewery,Food & Drink,en,4,ilkleybrewery,,8
marymaxim.com,Mary Maxim,Retail,en,3,marymaximus,,6
bomberbrewing.com,Bomber Brewing,Manufacturing,en,3,bomberbrewing,bomberbrewing,2
pickledpepperbooks.co.uk,Pickled Pepper Books,Retail,en,3,pickledbooks,,4
gowfb.com,Wholesale Furniture Brokers,,en,2,,,14
kannaglassstudios.com,Kanna Glass Studios,Hobby & Leisure,en,3,,kannaglassstudios,0
chefstoys.com,Chefs' Toys,Retail,en,4,chefstoys,chefstoys,6
fairindigo.com,Fair Indigo,Retail,en,3,fairindigo,fairindigo,2
watcon.com,WATCON,,en,4,,watcon-477760085668333,0
hennamehndi.co.uk,Henna Mehndi,,en,3,hennamehndi1,hennamehndiofficial,1
milroys.co.uk,Milroy's of Soho,Travel,en,4,,,4
caravancoffeeroasters.co.uk,Caravan Coffee Roasters,Manufacturing,en,3,,,6
brilliancenewyork.com,Brilliance New York,Manufacturing,en,2,,brilliancenewyork,3
vincentprice.com,Vincent Price,,en,2,,vincentprice.org,1
mauiwedding.net,"Maui Wedding Photography & Planning Studio, A Paradise Dream Wedding",Food & Drink,en,2,weddingsmaui,,2
hypop.com.au,Hypop,Retail,en,3,hypop,hypop,3
kamway.com,Kamparts,Sport,en,3,,,3
palmers.co.nz,Palmers,Travel,en,3,,palmersgarden,5
iplaybaby.com,I play,Sport,en,4,iplayinc,iplaybaby,1
mynaturalforce.com,Natural Force,Beauty & Fitness,en,3,mynaturalforce,mynaturalforce,0
moanapark.co.nz,Moana Park Winery,Food & Drink,en,2,moanaparkwinery,moanapark,6
auski.com.au,Auski Australia,Retail,en,3,auskiaustralia,auskiaustralia,4
michaelsjewelers.com,Michaels Jewelers,Retail,en,4,,michaelsjewelersct,30
wolseleywool.com,Wolseley Wool,Retail,en,2,wolseleywool,wolseleywool,1
kabinettandkammer.com,Kabinett & Kammer,Books & Literature,en,2,kabinettkammer,,1
testmagic.com,TestMagic,Law & Government,sr,4,testmagic,testmagic,1
nordiclife.co.uk,Nordiclife,,en,2,,,1
colonialbrewingco.com.au,Colonial Brewing Co,Travel,en,2,,colonialbrewingco,7
hogsback.co.uk,Hogs Back Brewery,Food & Drink,en,4,hogsbackbrewery,hogsbackbrewery,9
brewbynumbers.com,Brew By Numbers,Food & Drink,en,4,brewbynumbers,,0
harviestoun.com,Harviestoun Brewery,Food & Drink,en,4,harviestounbrew,harviestounbrewery,10
desiresbymikolay.com,Desires by Mikolay,Retail,en,3,desiresxmikolay,shopdesiresbymikolay,3
dominioncity.ca,Dominion City Brewing Co.,Food & Drink,en,4,dominioncitybc,dominioncitybrewingco,6
